segid,segstart,segend,verbatim,intended
34m_089,483.61,485.78,and that's you know i don't know,and you know i don't know
34m_090,489.42,489.85,okay,okay
34m_091,515.94,522.2,i think that the most important part to you know um the you know um the most important part,i think that you know the you know the most important part
34m_092,522.61,523.61,about stuttering,about stuttering
34m_093,524.6,534.06,is that there is so much emotional issues issues you know you know issues um,is that there is so much emotional you know you know issues
34m_094,534.56,540.98,every you know um every speech person that has gone through any class,you know every speech person that has gone through any class
34m_095,540.99,555.98,should have probably heard about the i i i i iceberg stuttering um you know uh you know you know,should have probably heard about the iceberg stuttering you know you know you know
34m_096,556.58,566.3,know um i personally i have had a lot of emotional problems and concepts that existed,know i personally i have had a lot of emotional problems and concepts that existed
34m_097,567.11,571.12,for a long long time because i didn't really have speech therapy you know,for a long time because i didn't really have speech therapy you know
34m_098,571.61,578.81,so just please keep in mind that you have to treat the speech problems that the person has,so just please keep in mind that you have to treat the speech problems that the person has
34m_099,579.11,588.79,but that's a very very small part about the entire compact you know um complexity that makes a person a stutterer,but that's a very small part about the entire you know complexity that makes a person a stutterer
35ma_000,16.06,38.92,well it's very difficult a a and and and i'm i'm i'm i'm trying to to avoid some uh s some some some some some stressful uh situations i i intera a a interactions,well it's very difficult and i'm trying to avoid some stressful interactions
35ma_001,40.07,50.18,so a huge i i i i impact on o on my l l life,so a huge impact on my life
35ma_002,51.0,71.82,and yeah and it's uh hard ha ha ha ha it it it it's hard hard hard hard hard hard for me to to maintain the the uh the relations with friends,and yeah and it's hard for me to maintain the relations with friends
35ma_003,72.7,79.12,you know 'cause 'cause 'cause 'cause i don't like to make phone phone phone calls,you know 'cause i don't like to make phone calls
35ma_004,79.47,85.47,checking up on them yeah so yeah,checking up on them yeah so yeah
35ma_005,90.08,106.95,i i'm pretty sure it's stressful situations and like it's it it it's it it it's weird,i'm pretty sure it's stressful situations and like it's weird
35ma_006,107.48,120.86,cause cause cause cause when i talk to people i i i i i know well i i i i i stu stutter less,cause when i talk to people i know well i stutter less
35ma_007,121.58,127.14,oh and and and and and with s strangers i stutter more,oh and with strangers i stutter more
35ma_008,127.75,152.44,uh also i i i don't stutter when i whisper or sing or when i'm uh uh uh like angry i i i i i don't  yeah so,also i don't stutter when i whisper or sing or when i'm like angry i don't  yeah so
35ma_009,166.85,172.8,i i i took a a a few therapies,i took a few therapies
35ma_010,173.64,210.67,and i it it looked like i i i i was uh i was practicing speech the the uh uh uh uh therapies i was uh i i i i was reading aloud a and clearly how to to keep the the the the r right uh tempo o of like the speech um,and it looked like i was practicing speech the therapies i was reading aloud and clearly how to keep the right tempo of like the speech
35ma_011,212.0,242.01,and the therapy py i i i i i was speaking fluent but right a a af after coming back h home know i i it came back to my normal speech uh with stuttering,the therapy i was speaking fluent but right after coming back home know it came back to my normal speech with stuttering
35ma_012,243.99,244.13,yeah,yeah
35ma_013,256.21,276.07,successful communication it's like you know when you can uh when you can can can can can say anything anytime with n no strug struggling that would be,successful communication it's like you know when you can say anything anytime with no struggling that would be
35ma_014,282.57,307.5,and al also some some sometimes i i i i i i have moments when i i can make a phone c call like for for a few minutes a a a and and speaking fluently ly,and also sometimes i have moments when i can make a phone call like for a few minutes and speaking fluently
35ma_015,309.19,318.44,so you know those are m my uh successes with speech,so you know those are my successes with speech
35ma_016,325.34,327.08,i would have a v very job you know,i would have a very job you know
35ma_017,327.81,334.68,i i i i i i i would graduate from be bet better school for sure,i would graduate from better school for sure
35ma_018,335.78,340.54,and i guess i would i would have more friends,and i guess i would have more friends
35ma_020,355.89,360.58,for people who stutter or for students,for people who stutter or for students
35ma_021,370.16,370.3,oh,oh
35ma_022,371.82,424.64,okay so definitely people who who who who who who who who who who stutter are as much intelligent as as as those who who don't and they are pretty normal people except you know the speech difficulty,okay so definitely people who stutter are as much intelligent as those who don't and they are pretty normal people except you know the speech difficulty
35mb_000,2.29,6.19,my name is glendon murray,my name is glendon murray
35mb_001,27.12,32.14,oh early childhood,oh early childhood
35mb_002,32.15,34.8,and you know being a teenager,and you know being a teenager
35mb_003,34.81,36.89,were were awful,were awful
35mb_004,37.51,39.22,really really bad,really bad
35mb_005,39.22,41.74,like a lot a lot of depression,like a lot of depression
35mb_006,42.72,44.95,some suicide attempts,some suicide attempts
35mb_007,45.52,46.32,bullying,bullying
35mb_008,48.08,49.01,on and on and on,on and on
35mb_009,49.56,52.62,uh my family and my friends have always been really great,my family and my friends have always been really great
35mb_010,52.84,55.79,you know like really really really good,you know like really good
35mb_011,55.92,57.04,these days though,these days though
35mb_012,57.09,62.5,you know like it probably got darkest when i was like nineteen,you know like it probably got darkest when i was like nineteen
35mb_013,62.53,63.16,twenty,twenty
35mb_014,63.16,65.72,and you know it was was really bad,and you know it was really bad
35mb_015,66.26,72.23,and uh around that time i began to spend more and more time just me,and around that time i began to spend more and more time just me
35mb_016,73.11,77.75,and i got to a point where like therapy hadn't worked,and i got to a point where like therapy hadn't worked
35mb_017,78.11,79.94,you know and i was kind of over it,you know and i was kind of over it
35mb_018,81.49,85.48,and i knew that some something had had to change,and i knew that something had to change
35mb_019,85.48,94.11,'cause this wasn't didn't seem to be going anywhere,'cause this didn't seem to be going anywhere
35mb_020,94.12,97.87,so i kind of had to figure it out,so i kind of had to figure it out
35mb_021,97.87,99.05,and through all of that,and through all of that
35mb_022,99.07,105.05,i was able to come to terms with with it,i was able to come to terms with it
35mb_023,105.12,108.18,and you know i i can't change this,and you know i can't change this
35mb_024,108.19,111.51,so i have to figure out a way to accept it,so i have to figure out a way to accept it
35mb_025,112.27,117.29,and uh since then it's you know it's still there,and since then you know it's still there
35mb_026,117.3,119.44,and some days aren't great,and some days aren't great
35mb_027,119.48,122.42,but i have a really good support system,but i have a really good support system
35mb_028,122.9,127.38,and i'm also not like a uh you know a shy type of guy,and i'm also not like you know a shy type of guy
35mb_029,127.87,139.45,so you know i wouldn't say the effect on me is super high,so you know i wouldn't say the effect on me is super high
35mb_030,156.42,161.34,well the you know from age three to eighteen,well the you know from age three to eighteen
35mb_031,162.57,164.48,therapy uh every week,therapy every week
35mb_032,164.49,166.07,we tried the speecheasy thing,we tried the speecheasy thing
35mb_033,166.07,170.23,which you know you know had a lot of hope,which you know had a lot of hope
35mb_034,170.33,177.58,but uh not a lot of uh actual relief,but not a lot of actual relief
35mb_035,178.28,185.95,uh you know i mean i i i did everything from you know hypnotherapy,you know i mean i did everything from you know hypnotherapy
35mb_036,185.98,188.44,which also you know obviously didn't work,which also you know obviously didn't work
35mb_037,188.51,193.21,to uh you know the tongue trick,to you know the tongue trick
35mb_038,193.21,195.02,or the breathing trick,or the breathing trick
35mb_039,195.02,198.03,and you know blah blah blah blah blah,and you know blah blah blah blah blah
35mb_040,198.48,201.9,but uh yeah i mean it was sixteen,but yeah i mean it was sixteen
35mb_041,201.96,203.83,seventeen years of that,seventeen years of that
35mb_042,203.83,206.78,and you know it's still here,and you know it's still here
35mb_043,206.78,207.97,so i mean yeah,so i mean yeah
35mb_044,220.3,227.84,i think just just conveying your point in a competent way,i think just conveying your point in a competent way
35mb_045,227.84,232.62,i mean i've i've heard people who are you know so called fluent,i mean i've heard people who are you know so called fluent
35mb_046,232.63,237.94,who who can't even form a sentence,who can't even form a sentence
35mb_047,238.09,240.81,as well as half the people i meet here,as well as half the people i meet here
35mb_048,240.81,241.46,who are you know,who are you know
35mb_049,242.88,246.24,you know i i think just conveying your point,you know i think just conveying your point
35mb_050,253.15,253.51,i don't know,i don't know
35mb_051,254.46,259.89,i mean i've heard everything from you know it could be stress to it's passed down,i mean i've heard everything from you know it could be stress to it's passed down
35mb_052,259.89,261.75,my grand dad stuttered,my grand dad stuttered
35mb_053,262.44,265.67,you know and he stuttered until he was twenty two,you know and he stuttered until he was twenty two
35mb_054,266.26,271.52,and then it kind of was just gone out after that,and then it kind of was just gone out after that
35mb_055,271.75,275.26,you know so we we always kind of hoped that that would happen to me,you know so we always kind of hoped that would happen to me
35mb_056,275.81,277.12,and then that didn't happen,and then that didn't happen
35mb_057,277.12,277.79,i don't know,i don't know
35mb_058,278.34,280.53,uh i mean i met a a girl,i mean i met a girl
35mb_059,280.6,282.04,my first year at a conference,my first year at a conference
35mb_060,282.04,282.86,who was fluent,who was fluent
35mb_061,282.87,284.23,up until she was sixteen,up until she was sixteen
35mb_062,284.23,286.22,and one day she woke up,and one day she woke up
35mb_063,286.22,287.77,and she stuttered,and she stuttered
35mb_064,289.28,291.9,so i mean who knows,so i mean who knows
35mb_065,292.9,293.69,honestly,honestly
35mb_066,293.74,295.96,but it's certainly not me,but it's certainly not me
35mb_067,296.04,320.73,i i think i think other things in our lives lives has the has the uh has the build build build ability to uh you know add some pressure to it to things,i think other things in our lives has the ability to you know add some pressure to things
35mb_068,320.73,322.83,but i don't think that that's like the cause,but i don't think that that's like the cause
35mb_069,323.18,329.01,you know i i i i you know if you're stressed out,you know you know if you're stressed out
35mb_070,329.01,330.02,or you know depressed,or you know depressed
35mb_071,330.06,330.87,or this and that,or this and that
35mb_072,331.59,339.97,your mind and body can do things that you know like you know shouldn't always,your mind and body can do things that you know like you know shouldn't always
35mb_073,340.06,340.53,happen,happen
35mb_074,349.51,352.19,at at a an early age,at an early age
35mb_075,352.19,352.6,yeah,yeah
35mb_076,353.22,359.33,you know i mean you know i've i've i thought i was stupid,you know i mean you know i thought i was stupid
35mb_077,359.33,363.72,i didn't didn't have you know self worth,i didn't have you know self worth
35mb_078,363.92,373.83,uh i haven't thought about it in a negative though in probably uh nine years,i haven't thought about it in a negative though in probably nine years
35mb_079,374.27,375.69,since my first conference,since my first conference
35mb_080,376.69,382.88,like it got really dark for a lot of years,like it got really dark for a lot of years
35mb_081,383.6,385.89,i wouldn't change it,i wouldn't change it
35mb_082,386.32,386.94,at all,at all
35mb_083,386.94,401.6,like like i i i i literally can't even imagine my life now if i if i hadn't found out about the nsa,like i literally can't even imagine my life now if i hadn't found out about the nsa
35mb_084,402.47,403.06,you know,you know
35mb_085,403.12,408.85,like like i could have just not been here for the last nine years,like i could have just not been here for the last nine years
35mb_086,409.29,411.51,you know and it's kind of insane,you know and it's kind of insane
35mb_087,411.51,415.92,that i've grown close to so many people,that i've grown close to so many people
35mb_088,415.92,417.31,who i just like love and cherish,who i just like love and cherish
35mb_089,417.99,422.17,like like it's a enormous part of who i am,like it's a enormous part of who i am
35mb_090,422.72,423.57,,
35mb_091,424.69,425.06,yeah,yeah
35mb_092,445.34,446.62,me personally,me personally
35mb_093,446.64,447.93,i think it's more,i think it's more
35mb_094,447.96,449.39,you know as i mentioned earlier,you know as i mentioned earlier
35mb_095,451.3,455.51,about just trying to make sure that whoever is struggling,about just trying to make sure that whoever is struggling
35mb_096,455.52,460.06,finds a way to to you know be comfortable with themself,finds a way to you know be comfortable with themself
35mb_097,460.73,463.72,that's you know i hear talk of the cure,you know i hear talk of the cure
35mb_098,463.72,464.46,and this and that,and this and that
35mb_099,464.46,468.37,and i personally don't don't think that's ever going to happen,and i personally don't think that's ever going to happen
35mb_100,468.37,472.63,you know in the like like like physical,you know in the like like like physical
35mb_101,472.66,474.4,i'm i'm going to take a pill,i'm going to take a pill
35mb_102,474.41,475.97,or or have a surgery type way,or have a surgery type way
35mb_103,476.52,479.63,but i believe i believe and i think that i'm cured,but i believe and i think that i'm cured
35mb_104,480.74,482.2,you know because i got through it,you know because i got through it
35mb_105,482.23,484.2,and i trust myself now,and i trust myself now
35mb_106,484.61,488.21,and i know that it doesn't define me,and i know that it doesn't define me
35mb_107,488.22,489.54,it's part of who i am,it's part of who i am
35mb_108,489.78,492.36,i would i think i would stress that,i think i would stress that
35mb_109,493.07,501.88,as as like people need to to to know that there is no cure,like people need to know that there is no cure
35mb_110,501.88,511.41,and that you're going to have to fig figure out how to not let this giant beast just overtake you,and that you're going to have to figure out how to not let this giant beast just overtake you
35mb_111,511.43,513.05,'cause it can happen,'cause it can happen
35mb_112,514.12,516.41,is all i would i think that,is all i think that
35mb_113,516.41,517.56,yeah yeah okay,yeah yeah okay
37m_000,21.35,35.75,being a person who stutters there are many unique challenges that i f f f face every day,being a person who stutters there are many unique challenges that i face every day
37m_001,36.44,57.28,one of them for example is that m m m m my office is located in a very busy area where there's always people coming and going,one of them for example is that my office is located in a very busy area where there's always people coming and going
37m_002,57.28,96.48,so naturally th there are coworkers who c who come in to say hello and it it it it it it can be a real struggle for me to to to maintain a conversation outside of hi how are you how's it going,so naturally there are coworkers who come in to say hello and it can be a real struggle for me to maintain a conversation outside of hi how are you how's it going
37m_003,96.49,130.7,and w every time i start stuttering i'm reminded of how my parents do not and will not u understand m my stuttering f i in the way that i want them to,and every time i start stuttering i'm reminded of how my parents do not and will not understand my stuttering in the way that i want them to
37m_004,131.68,151.76,it's my parents' feelings that the shorter my sentences are the less likely i i will be to stutter,it's my parents' feelings that the shorter my sentences are the less likely i will be to stutter
37m_005,151.76,162.84,and that to me is just completely w w w w w way off the beam,and that to me is just completely way off the beam
37m_006,163.28,203.18,i mean n nobody has e ever t told me what i can and can't say and n nobody will e ever prev prev prev prev prevent me from s saying w what i want,i mean nobody has ever told me what i can and can't say and nobody will ever prevent me from saying what i want
37m_007,209.73,228.91,m my impression i i i is that stut stuttering has a a a always been genetic,my impression is that stuttering has always been genetic
37m_008,228.91,242.78,f f i h have n not done a a a any genealogy r research,i have not done any genealogy research
37m_009,243.8,255.56,but it has been m my understanding that my great great great grandfather st stuttered,but it has been my understanding that my great great great grandfather stuttered
37m_010,259.69,271.27,yet n n n n no one else in my family does,yet no one else in my family does
37m_011,271.91,298.52,and s w m w and what i emphatically say is that my stuttering i is not caused by nerves a and it is not caused by stress,and and what i emphatically say is that my stuttering is not caused by nerves and it is not caused by stress
37m_012,309.13,342.52,well currently i am in speech therapy u under the t tutelage of a brilliant speech th therapist and she knows who she is,well currently i am in speech therapy under the tutelage of a brilliant speech therapist and she knows who she is
37m_013,343.34,366.5,um a and working with her and her her staff i i have been unlearning everything all my f former slps have taught me,and working with her and her staff i have been unlearning everything all my former slps have taught me
37m_014,366.51,394.93,and what i am focused on now is just s st stuttering o o openly w w w w w without any guilt or shame and l loving it,and what i am focused on now is just stuttering openly without any guilt or shame and loving it
37m_015,396.32,422.07,in fact v v i i i i'm even s open s s s stuttering right n n now and i'm h h h have having a a bl bl blast doing it,in fact i'm even open stuttering right now and i'm having a blast doing it
37m_016,439.62,467.04,anytime you say w what you want that is the q quintessential definition of h h h of having a a a successful f f experience,anytime you say what you want that is the quintessential definition of having a successful experience
37m_017,468.17,491.49,to me anytime that i refuse to let m my words tr tr trap me th th that is how i i define success,to me anytime that i refuse to let my words trap me that is how i define success
37m_018,492.78,523.12,every time i s speak at a stuttering conference w and people hear m my story yeah i think that's r r a great example of being successful,every time i speak at a stuttering conference and people hear my story yeah i think that's a great example of being successful
37m_019,533.59,545.08,oh wow um o okay i love working for the g g government,oh wow okay i love working for the government
37m_020,545.71,577.08,however there have been times w that i had th thought about going t to law school or possibly b becoming f a r radio d d dj,however there have been times that i had thought about going to law school or possibly becoming a radio dj
37m_021,577.1,592.44,yes i i sometimes would fall asl sl sl sl asleep dreaming of me behind the microphone,yes i sometimes would fall asleep dreaming of me behind the microphone
37m_022,593.16,614.91,and i i r realized that it would probably h have been very t difficult to m to m m make those dreams h happen,and i realized that it would probably have been very difficult to make those dreams happen
37m_023,615.75,650.09,b but being a m motivational speaker in many ways it's al l allowed m me to reach out and help o o others go for their dreams,but being a motivational speaker in many ways it's allowed me to reach out and help others go for their dreams
37m_024,650.23,687.51,and i in a way others who go for their dreams help me r realized th that just just maybe i didn't m miss out of m my dreams a after all,and in a way others who go for their dreams help me realized that just maybe i didn't miss out of my dreams after all
37m_025,703.31,714.7,w working with people who stutter is not just about the academic component,working with people who stutter is not just about the academic component
37m_026,714.7,730.54,th th th i do understand that the classroom plays a v v very big r r role,i do understand that the classroom plays a very big role
37m_027,730.59,761.13,but w when you go for your master's in speech therapy you will learn that a speech therapist is a a advocate friend confidant,but when you go for your master's in speech therapy you will learn that a speech therapist is advocate friend confidant
37m_028,761.82,773.13,m and sit back and e enjoy the ride,and sit back and enjoy the ride
37m_029,774.08,782.97,because there will be times w w w w when it's challenging,because there will be times when it's challenging
37m_030,783.89,797.43,there will be times w w w when y y you will want t to scream and curse,there will be times when you will want to scream and curse
37m_031,797.43,817.97,and maybe you'll get angry th th that y y your saturday n nights are n nonexistent,and maybe you'll get angry that your saturday nights are nonexistent
37m_032,819.28,843.56,b b but i i i in the end you will have achieved the greatest gift of all a a a and that is m making a difference in someone's l life,but in the end you will have achieved the greatest gift of all and that is making a difference in someone's life
37m_033,843.58,858.52,and right now more than ever th that is w what o o our world needs,and right now more than ever that is what our world needs
44m_000,0.74,1.25,question one,question one
44m_001,1.94,4.57,please talk about the impact of stuttering on your daily life,please talk about the impact of stuttering on your daily life
44m_002,5.39,8.07,you can talk about your interactions with family and friends,you can talk about your interactions with family and friends
44m_003,8.45,9.72,school and or work,school and or work
44m_004,10.22,12.51,and your participation in commu community activities,and your participation in community activities
44m_005,13.45,16.6,um so i guess first off um thinking about stuttering in my daily,so i guess first off thinking about stuttering in my daily
44m_006,17.14,18.88,um is i'm a very mild stutterer,is i'm a very mild stutterer
44m_007,18.89,21.39,so i don't really it doesn't really impact me too much um,so it doesn't really impact me too much
44m_008,21.39,23.78,especially when thinking about family and friends um,especially when thinking about family and friends
44m_009,24.04,26.56,i think that's usually an environment where i feel safe,i think that's usually an environment where i feel safe
44m_010,26.58,28.47,and if it does occur just it just occurs,and if it does occur it just occurs
44m_011,28.47,31.68,and just i haven't really found a pattern about it so i really don't know um,and just i haven't really found a pattern about it so i really don't know
44m_012,32.14,36.06,for school and work that's a little bit different where i just completed my mba,for school and work that's a little bit different where i just completed my mba
44m_013,36.11,41.03,and one of the focuses of the program was to have a lot of presentations and usually there,and one of the focuses of the program was to have a lot of presentations and usually there
44m_014,41.03,44.75,there's one or two formal ones per um class,there's one or two formal ones per class
44m_015,45.31,48.99,and that was usually um between twenty to forty five minutes long,and that was usually between twenty to forty five minutes long
44m_016,49.41,50.3,so that there was that,so there was that
44m_017,50.35,51.62,and so that would be kind of um,and so that would be kind of
44m_018,52.66,56.33,it was at the same time scary frightening,it was at the same time scary frightening
44m_019,56.33,57.89,but also at the same time it was kind of exhilarating,but also at the same time it was kind of exhilarating
44m_020,58.29,61.26,'cause i don't like public speaking that much,'cause i don't like public speaking that much
44m_021,61.3,63.24,but there was the adrenaline rush,but there was the adrenaline rush
44m_022,63.24,65.94,and so it was kind of that was f kind of fun to do where it was like you do it and you feel great,and so that was kind of fun to do where it was like you do it and you feel great
44m_023,65.95,71.74,you're um i had an um hour hour let's say hour,i had an let's say hour
44m_024,72.0,73.51,long presentation about nascar,long presentation about nascar
44m_025,74.1,75.0,not a nascar fan,not a nascar fan
44m_026,75.3,75.75,,
44m_027,75.75,77.39,it was kind of fun to be able to do it for an hour,it was kind of fun to be able to do it for an hour
44m_028,77.79,82.05,just like okay be that kind of ess uh subject matter expert,just like okay be that kind of subject matter expert
44m_029,82.9,84.35,um so that was kind of fun,so that was kind of fun
44m_030,84.38,89.59,um but an anoth another thing that was very helpful was with the program it was also very team based,but another thing that was very helpful was with the program it was also very team
44m_031,89.59,94.4,so i was with the same my my friends my team um we worked together for twenty seven months,my friends my team we worked together for twenty seven months
44m_032,94.41,95.62,so that was kind of help there,so that was kind of help there
44m_033,95.62,99.09,so kind of m i was always speaking with a known group,so kind of i was always speaking with a known group
44m_034,99.09,101.55,so that that was that seemed to help reduce some anxiety,so that seemed to help reduce some anxiety
44m_035,102.07,103.36,the audience was the hard part of the,the audience was the hard part of the
44m_036,103.51,104.37,my team based was not,my team based was not
44m_037,104.88,111.37,um for work i don't think it's really impacted my life too much for work um,for work i don't think it's really impacted my life too much for work
44m_038,112.02,115.01,at this point in time in my career i'm just in the office doing paperwork,at this point in my career i'm just in the office doing paperwork
44m_039,115.01,116.3,just kind of bur bureaucratic stuff,just kind of bureaucratic stuff
44m_040,116.78,120.52,and so i interact primarily no actually i interact with vendors,and so i interact with vendors
44m_041,120.55,127.68,i interact with um internal departmental um clients and then also external um clients around m my company,i interact with internal departmental clients and then also external clients around my company
44m_042,128.18,130.86,um so it is kind of like i have that,so it is kind of like i have that
44m_043,130.5,131.97,so i guess i do interact with a lot of people,so i guess i do interact with a lot of people
44m_044,132.01,138.07,but i've been at the same place for over um this may will be twenty years,but i've been at the same place for over this may will be twenty years
44m_045,138.31,140.64,kind of um i know a lot of people,i know a lot of people
44m_046,140.64,142.41,so it's kind of like there's not much stress there um,so it's kind of like there's not much stress there
44m_047,142.59,145.72,there is some stuff with vendors,there is some stuff with vendors
44m_048,145.75,149.67,but i typically deal with the same ones again and again for major corporations um,but i typically deal with the same ones again and again for major corporations
44m_049,149.92,151.98,like lenovo oracle ibm,like lenovo oracle ibm
44m_050,152.46,154.06,it's kind of you get to know them,it's kind of you get to know them
44m_051,154.29,155.83,and some better than others,and some better than others
44m_052,155.84,156.92,some of them i talk to weekly,some of them i talk to weekly
44m_053,156.92,158.01,some i talk to quarterly,some i talk to quarterly
44m_054,158.47,160.8,so it's just kind of just not really there's um,so it's just kind of just not really there's
44m_055,160.82,161.55,so it's not too bad,so it's not too bad
44m_056,161.65,166.34,um one thing i did do was for about five years i did work at a call center,um one thing i did do was for about five years i did work at a call center
44m_057,166.44,175.72,and so that was as my existence so i really can't really think my stuttering really impacted me there,and so that was as my existence so i really can't really think my stuttering really impacted me there
44m_058,175.87,177.25,i do remember um,i do remember
44m_059,177.79,180.5,it has been about ten years ago,it has been about ten years ago
44m_060,181.35,184.72,and i was would have trouble in the morning,and i would have trouble in the morning
44m_061,184.85,187.53,where i would say good morning,where i would say good morning
44m_062,187.98,189.42,something like that some type of salutation,something like that some type of salutation
44m_063,189.49,190.91,and the g would stop,and the g would stop
44m_064,190.91,192.49,and if like i don't know what it is,and if like i don't know what it is
44m_065,192.52,194.68,but i'm guess guessing the technical term's a block,but i'm guessing the technical term's a block
44m_066,194.68,196.93,but uh just the good morning wouldn't come out,but just the good morning wouldn't come out
44m_067,197.37,198.71,and um it's just kind of,and it's just kind of
44m_068,200.59,204.99,the people who would be on the line was probably thinking i'm doing something like fiddling with the phone to come in,the people who would be on the line was probably thinking i'm doing something like fiddling with the phone to come in
44m_069,205.44,206.43,but they really never knew it was,but they really never knew it was
44m_070,206.44,208.48,sometimes i would just have to pause,sometimes i would just have to pause
44m_071,208.48,208.77,and go,and go
44m_072,209.08,210.48,just remember like oh yeah this is kind of weird,just remember like oh yeah this is kind of weird
44m_073,210.48,213.84,but i can say good morning sometimes other times i can't do it,but i can say good morning sometimes other times i can't do it
44m_074,214.96,215.35,don't know,don't know
44m_075,215.84,217.99,um participation in community activities,participation in community activities
44m_076,218.15,224.17,um don't really participate in that many community activities,don't really participate in that many community activities
44m_077,224.17,228.46,honestly um kind of a shyer person,honestly kind of a shyer person
44m_078,229.25,232.18,i can be extroverted can be,i can be extroverted can be
44m_079,232.6,236.14,kind of um don't really believe in myers briggs test that much,kind of don't really believe in myers briggs test that much
44m_080,236.19,238.11,but according to that i am kind of half and half,but according to that i am kind of half and half
44m_081,238.11,239.75,so just kind of like depending on my mood,so just kind of like depending on my mood
44m_082,240.28,241.99,i guess in the areas i do do community activities,i guess in the areas i do do community activities
44m_083,242.06,247.78,for a while at church at mass i was doing the first reading which is the old testament,for a while at church at mass i was doing the first reading which is the old testament
44m_084,247.85,250.55,and kind of just did it just to get out there,and kind of just did it just to get out there
44m_085,250.55,251.71,and just kind of just do stuff um,and just kind of just do stuff
44m_086,252.6,259.2,and really wouldn't i don't think it affected me that much people could probably tell i was a stutterer,and really wouldn't i don't think it affected me that much people could probably tell i was a stutterer
44m_087,259.2,260.34,it's probably hard to miss,it's probably hard to miss
44m_088,260.76,263.88,but i always would have trouble with the old testament names,but i always would have trouble with the old testament names
44m_089,263.88,265.37,the um hebrew names,the hebrew names
44m_090,265.38,267.2,because just reading them cold,because just reading them cold
44m_091,267.2,273.14,not really hearing them so i was like i don't have the proper pronunciation so that sometimes it would like okay,not really hearing them so i was like i don't have the proper pronunciation so that sometimes it would like okay
44m_092,273.8,275.08,and it probably would just be slaughtered,and it probably would just be slaughtered
44m_093,276.04,276.92,i'm trying to think um,i'm trying to think
44m_094,276.97,278.81,i've done toastmasters um,i've done toastmasters
44m_095,278.82,287.12,that was once again like i just try and throw myself out into a um environment where i have to do public speaking,that was once again like i just try and throw myself out into a environment where i have to do public speaking
44m_096,287.75,292.55,and it's gotten to the point where i know the toastmaster club very well so it's not really frightening anymore,and it's gotten to the point where i know the toastmaster club very well so it's not really frightening anymore
44m_097,292.56,294.41,it's just kind of like okay just my friends we go talk,it's just kind of like okay just my friends we go talk
44m_098,295.0,303.77,and i guess when i get excited and start talking more it can kind of things can come out more stuttered,and i guess when i get excited and start talking more things can come out more stuttered
44m_099,303.77,307.76,but i really haven't been keeping track and so i really don't know,but i really haven't been keeping track and so i really don't know
44m_100,307.83,310.86,so in my mind i stutter a fair amount,so in my mind i stutter a fair amount
44m_101,311.0,313.83,but it's really not impact my life that much,but it's really not impact my life that much
44m_102,313.83,315.65,it's just kind of it's there,it's there
44m_103,316.28,318.28,um question number two,question number two
44m_104,319.34,320.83,what do you think causes stuttering,what do you think causes stuttering
44m_105,320.91,322.21,and this is a nice segue um,and this is a nice segue
44m_106,323.1,327.4,i guess on a high level i would say in my personal estimation,i guess on a high level i would say in my personal estimation
44m_107,327.95,329.93,i think there is a genetic component,i think there is a genetic component
44m_108,332.14,336.17,that would allow people to have a higher propensity for stuttering,that would allow people to have a higher propensity for stuttering
44m_109,336.57,346.63,but i'm also curious if there is a correlation between traumatic brain injuries ctes concussions whatever you want to call it,but i'm also curious if there is a correlation between traumatic brain injuries ctes concussions whatever you want to call it
44m_110,346.84,349.09,some type of smacking the brain around,some type of smacking the brain around
44m_111,349.15,352.14,that will kind of activate that propensity,that will kind of activate that propensity
44m_112,352.17,354.83,or i i don't know,or i don't know
44m_113,354.83,365.53,i'm just um that the reason why i kind of have this kind of thinking is um where i work we have a uh groundskeeper um,the reason why i kind of have this kind of thinking is where i work we have a groundskeeper
44m_114,365.59,367.71,he's i know i know him pretty well,i know him pretty well
44m_115,368.31,371.43,okay um i guess we kinda bonded cause the stuttering,okay i guess we kinda bonded cause the stuttering
44m_116,371.78,375.8,and he is a very uh heavy stutterer,and he is a very uh heavy stutterer
44m_117,375.8,379.91,he has had a lot like it impacts pretty much every sentence,like it impacts pretty much every sentence
44m_118,380.61,383.64,or probably every second syllable or so it's really really bad,or probably every second syllable or so it's really really bad
44m_119,384.06,386.19,but uh he was a seal in vietnam,but he was a seal in vietnam
44m_120,386.33,390.41,and knowing a fair amount about military history in vietnam,and knowing a fair amount about military history in vietnam
44m_121,390.56,392.97,i'm pretty sure he's been through a lot of concussions,i'm pretty sure he's been through a lot of concussions
44m_122,393.58,396.34,um okay actually kind of go back to another thing,okay actually kind of go back to another thing
44m_123,396.36,401.74,also um lot of traumatic events i would bet money too,also lot of traumatic events i would bet money too
44m_124,402.04,404.29,people died that were close friends so,people died that were close friends so
44m_125,404.48,405.8,kind of on going there,kind of on going there
44m_126,405.8,406.6,so i also think,so i also think
44m_127,407.29,409.14,before i get too disjointed um,before i get too disjointed
44m_128,409.15,416.36,that stuttering can also have a some type of the propensity,that stuttering can also have some type of the propensity
44m_129,416.37,421.28,you have the genetic propensity then you have uh anxiety emotional outcomes will kinda push it,you have the genetic propensity then you have anxiety emotional outcomes will kinda push it
44m_130,421.3,427.9,and i think this because i didn't stutter until about um second grade first grade,and i think this because i didn't stutter until about second grade first grade
44m_131,428.52,429.23,second grade first grade,second grade first grade
